MeanScore,RCR,LogRCR
3.75,9.895849255,0.995453071
2.666666667,0.803009483,-0.095279326
2.75,3.542502843,0.549310207
1.666666667,3.428097312,0.535053142
2,0.406093047,-0.391374446
3,0.737912897,-0.131994899
2.333333333,0.868072852,-0.061443826
2.333333333,1.575323719,0.197369812
2.75,7.487159973,0.874317112
2,2.517113328,0.400902769
2.666666667,2.147709196,0.331975477
1.666666667,0.262174337,-0.581409822
3.25,4.395073539,0.642966146
3.333333333,10.04633362,1.002007596
2.5,0.612666116,-0.212776138
2,1.086573591,0.036059145
2,1.837004699,0.264110267
3.333333333,6.375381699,0.804506191
2.333333333,4.661484789,0.668524271
3.666666667,2.565226801,0.409125769
2,3.522875949,0.546897351
3,1.846130355,0.266262363
3.75,7.430869245,0.871039619
2.333333333,1.106832934,0.044082073
2.333333333,0.73539552,-0.13347902
3.333333333,2.279008581,0.35774596
4,4.421210485,0.645541191
3.666666667,2.338515812,0.368940311
1.25,0.836113393,-0.07773482
1.666666667,2.054079353,0.312617217
2.25,2.925954177,0.46626752
3,3.761426321,0.575352559
2.333333333,8.614966672,0.935253602
2,0.778601319,-0.108684865
2.333333333,4.902745146,0.690439318
2.333333333,7.922397316,0.898856619
3,14.34644952,1.156744435
2.666666667,1.499972672,0.176083347
2.666666667,0.776487021,-0.109865799
3.666666667,6.595650001,0.819257602
1.666666667,0.675683657,-0.170256585
2.666666667,0.409780679,-0.387448522
2.666666667,6.258693367,0.796483675
2,0.708773214,-0.149492704
3,2.177203754,0.337899074
2.333333333,0.728638498,-0.137487886
2,0.326465612,-0.486162558
2.666666667,10.75087011,1.031443615
2,0.604975873,-0.218261945
3.666666667,10.79522417,1.033231665
1.75,0.226093687,-0.645711564
2.333333333,2.015536227,0.304390609
2.333333333,8.829121481,0.945917492
4,4.024147105,0.604673848
3,2.280755805,0.358078789
2.333333333,0.519088241,-0.284758809
3.666666667,1.782251815,0.250969066
3.333333333,1.529549363,0.184563497
3,3.634600271,0.560456655
2,4.095443486,0.612300937
2.333333333,1.47435943,0.168603372
2,1.680187538,0.225357759
2,1.583194113,0.199534166
2.333333333,0.559622618,-0.252104741
2,1.360235169,0.133613999
2.333333333,0.608316959,-0.215870076
2.333333333,6.127382361,0.787274982
3,1.00526093,0.002278804
2,3.863793772,0.587013938
3,2.184477892,0.339347654
3.333333333,2.684236819,0.428820829
1.666666667,8.733457147,0.941186194
2.333333333,1.222068203,0.087095444
2.666666667,3.453448003,0.538252921
3.333333333,11.5513451,1.062632559
3.333333333,11.78226687,1.071228855
3.333333333,4.539412828,0.656999681
4,2.478406885,0.394172607
4,5.190968174,0.715248366
2.666666667,1.074115195,0.03105086
3,0.663371437,-0.178243232
2,0.262347956,-0.581122315
3.333333333,9.576918146,0.981225776
3,3.779882344,0.577478282
2.333333333,0.368001731,-0.434150138
3.666666667,12.18669954,1.085886104
2.333333333,3.371731233,0.527852949
3.333333333,4.734821953,0.675303653
2.75,4.331726136,0.636660991
1.75,6.243767717,0.795446738
3.333333333,2.386101053,0.377688832
2.666666667,3.573491813,0.553092791
2.333333333,0.279791929,-0.553164818
3,2.313214274,0.364215864
2.75,2.595176217,0.414166853
1.666666667,1.01176945,0.005081562
2.666666667,2.514548058,0.40045994
2.666666667,1.996355825,0.300237951
3.666666667,2.504512479,0.3987232
