Category Avg CPY,TR Ratio,FCR,RCR
4.4855,0.371567644,7.401144186,0.260780922
2.263258333,1.62008314,4.812106195,0.83299373
4.143533333,3.05697231,6.716945701,2.159571132
4.4209,1.507988569,13.61914471,0.596910953
3.16985,0.105157447,11.11286667,0.036063589
3.384633333,0.393937305,10.65085714,0.150015818
4.146233333,0.643154027,12.23791003,0.263834377
2.187733333,1.828376402,5.415643564,0.822112024
3.982166667,1.255597874,7.669774194,0.75786739
5.137416667,2.270920858,8.943545825,1.539919711
5.789333333,0.230308614,8.513611111,0.18401425
4.595116667,0.362703885,9.206379032,0.214276882
5.137416667,2.919755389,12.55720889,1.448899937
2.776516667,1.200545047,6.126919395,0.615912964
3.367633333,3.266388859,5.480010736,2.238059103
3.752333333,0.621835302,8.660567797,0.317083758
8.966066667,3.420303217,8.81710815,4.100367081
4.0723,1.555222683,9.038804696,0.827957713
2.5136,1.19350732,4.193193966,0.7640864
4.4855,1.263329989,6.59300565,0.982068513
4.146233333,5.064837965,12.0462236,2.108418849
4.4855,0.743135288,6.306676329,0.600586003
3.565,0.74801309,6.901458689,0.443916836
3.9927,0.667885558,6.914099602,0.443200254
3.877366667,0.945658995,10.1669738,0.430553803
3.7186,0.08963947,0.873,0.2423867
3.985633333,2.090842944,7.675478475,1.262273759
4.4855,1.411957047,12.59465665,0.610062236
3.22715,0.413161252,8.269634921,0.188901334
1.9101,1.221576532,4.052825397,0.611075155
3.384633333,1.280296241,9.071169761,0.56466171
2.2189,0.901347515,2.805634921,0.699267052
3.568383333,0.373651934,7.734490909,0.200586167
4.46295,0.074689014,4.457,0.080730759
2.936083333,1.021769364,3.379643478,0.908768015
4.4855,0.743135288,8.36501937,0.467400255
3.279366667,0.508228215,5.697871111,0.327931369
3.064466667,8.919442209,7.89435197,4.037412341
4.146233333,0.321577014,10.14553953,0.156868377
4.796925,3.057514276,11.85817301,1.494222651
2.950633333,0.903760775,6.043567033,0.498630919
2.8473,1.2877697,7.442774775,0.570860935
5.137416667,0.583951078,10.16250323,0.352413436
4.146233333,1.527490815,7.695012658,0.957152024
3.972866667,0.839024718,7.59600641,0.509623107
4.769333333,1.537601342,8.825899836,0.979637756
2.477583333,6.592445596,3.248207273,5.103872303
3.048933333,0.109327852,9.59277381,0.041279763
4.0723,0.736684429,7.959731343,0.439866797
5.4269,1.412715669,10.42345339,0.879888244
4.028433333,2.647844902,7.719292982,1.607513281
3.630466667,2.479020144,7.21701444,1.440095408
5.4269,1.351293249,7.119490644,1.187650835
4.651977778,0.214962334,9.779019802,0.121682889
5.789333333,0.230308614,6.697335052,0.227908758
2.936083333,0.340589788,3.118645161,0.322514421
4.769333333,0.698909701,12.36648607,0.326600739
2.030666667,0.492449114,6.582893617,0.17353988
3.511466667,2.657958688,6.926540541,1.548740421
3.630466667,1.377233414,8.382939394,0.699749412
3.511466667,1.42390644,5.116436975,1.078603449
4.2291,3.152759058,5.717450628,2.61570847
3.916766667,0.08510421,10.26762003,0.038789032
3.627833333,2.021408554,8.509693346,1.012499005
3.710555556,3.323850876,9.465401685,1.546089185
3.774983333,2.030914044,5.520925,1.549945927
3.106566667,1.82409305,4.991545117,1.248256762
2.936083333,1.362359152,6.460563107,0.705669916
2.9613,1.238194937,5.795929487,0.710910281
2.927116667,0.569388534,4.630550725,0.391025452
5.137416667,8.045548184,14.39530976,3.513253877
2.884,0.115580213,4.100455696,0.086467727
3.877366667,1.203565994,8.132470968,0.671176043
4.0723,1.064099731,6.15950541,0.796999756
4.143533333,2.654739112,9.090017127,1.430672357
2.03905,0.817374104,4.794112994,0.379826453
2.337633333,1.56853798,3.804378505,1.010793168
5.4269,0.675646625,6.501436652,0.643299972
4.0723,0.163707651,7.809561644,0.099430291
2.623466667,1.270583452,6.694767726,0.569964074
8.966066667,1.189670684,8.720096457,1.440571837
3.774983333,0.264901832,5.148369863,0.214584937
4.146233333,1.607885068,9.679552466,0.818834094
3.347466667,3.186489285,6.579196154,1.852005115
4.4855,0.297254115,6.635092369,0.22978717
3.822677778,2.964762921,7.798991597,1.692364868
2.3121,1.297521733,5.035861607,0.655922004
3.580133333,1.582808834,7.352777778,0.891840902
3.334616667,1.199538178,13.3222691,0.365613678
2.412166667,1.93463691,2.571916168,1.740928668
4.032816667,3.636829511,8.313831301,2.067965638
2.822166667,0.354337684,9.041231707,0.130698303
4.83335,4.689639001,7.513065885,3.499533
4.4855,0.891762345,8.216572714,0.569996369
4.1518,0.160572924,10.27775,0.077507864
4.146233333,2.81379887,13.69376603,1.039259073
4.143533333,0.482679838,12.09668047,0.200023234
2.623466667,1.524700142,9.82085872,0.484835031
3.182333333,0.104744946,10.54115054,0.037863043
4.143533333,0.321786559,7.330433333,0.210413453
5.105116667,0.06529397,10.29648214,0.038689193
