RCR (log) First Interval,d(logRCR),d(logRCR Randomized)
0.165884,-0.28813,-0.00656
-0.0256,-0.13788,-0.40446
0.343989,-0.24294,-0.53841
0.196113,-0.14649,-0.19455
-0.03746,0.428051,-0.23758
-0.25966,0.123188,0.282385
0.469262,-0.30939,-0.94289
-0.06079,0.109279,-0.24158
-0.08474,-0.09942,-0.20173
-0.3011,0.469611,0.171264
0.131914,-0.13008,-0.19824
0.000741,-0.16404,0.339414
-0.2751,0.087299,-0.03005
-0.01969,-0.08529,0.471766
-0.21566,0.040734,0.124913
-0.02545,-0.08962,-0.07492
-0.25277,-0.11969,0.3647
-0.07429,-0.07295,-0.42967
-0.17174,0.00014,0.287854
-0.00139,0.125919,0.116351
0.234427,-0.06346,-0.4753
-0.11165,-0.15057,-0.28967
0.11399,-0.04166,-0.06646
-0.28859,-0.1124,0.35733
-0.12069,-0.02467,-0.30507
-0.25318,0.240244,0.209944
-0.16383,-0.23454,0.296562
0.194759,-0.06159,-0.35211
0.051788,0.185156,-0.67312
0.053176,0.232922,-0.20129
-0.26487,0.12868,0.449187
-0.08906,0.00266,0.232895
0.420411,-0.26003,-0.44931
-0.26619,-0.16607,0.35362
0.528769,0.094304,-1.15195
-0.38435,0.421238,0.338857
0.404237,-0.00684,-0.52354
-0.0636,0.014208,0.085374
-0.06373,-0.24634,0.177034
0.104237,-0.0554,-0.41702
-0.12104,0.093373,0.01248
-0.1124,0.09089,0.217756
0.122039,0.005082,-0.1236
0.337539,0.015744,0.129335
-0.36344,0.223495,-0.14625
0.132773,0.017729,-0.10623
0.172715,-0.00039,-0.18162
0.167986,0.123635,-0.46801
-0.05717,-0.17705,-0.24312
0.169425,0.215371,0.015789
-0.0766,-0.12928,-0.22257
0.159354,-0.27771,-0.40144
-0.36628,0.154476,0.617782
-0.42455,0.198912,0.249861
0.006755,0.055584,-0.05304
0.096269,-0.09244,-0.02696
-0.1884,0.023219,0.274189
-0.03564,-0.07738,-0.10787
-0.00588,-0.2969,-0.09885
-0.24107,-0.13707,0.082426
0.246363,-0.15306,-0.62936
0.087102,-0.22463,-0.17053
0.073208,-0.30245,0.14996
0.135445,-0.49209,-0.37225
-0.35873,-0.06609,0.495811
-0.14239,0.151734,-0.20751
0.000688,-0.02305,0.078963
0.289474,-0.1018,-0.56544
-0.05566,0.034353,-0.16963
-0.05685,0.122026,0.337137
-0.00896,0.120816,-0.3092
0.262948,-0.42946,0.006151
0.396447,-0.27951,-0.40412
0.060897,0.025871,-0.2433
0.125464,0.128735,-0.1923
0.126095,-0.26514,-0.36882
-0.04024,0.124786,-0.00607
0.02468,-0.19347,-0.11108
-0.20168,0.123434,0.169554
-0.03593,-0.30596,0.511806
0.169547,-0.04268,-0.46373
-0.04258,0.304695,-0.04566
