CPY,JCR_IF,FCR
0.333333333,2.781,2.781
0.333333333,2.816,4.049
0.333333333,2.816,3.817368421
0.333333333,2.822,2.822
0.333333333,2.833,5.240008333
0.333333333,2.841,9.376888889
0.333333333,2.855,11.47371831
0.333333333,2.855,5.365170732
0.333333333,2.855,4.024103448
0.333333333,2.861,5.662769231
0.333333333,2.895,4.586071429
0.333333333,2.899,3.816875
0.333333333,2.899,2.899
0.333333333,2.917,3.18435
0.333333333,2.932,3.584703704
0.333333333,2.932,2.4694
0.333333333,2.935,9.840617647
0.333333333,2.945,3.971272727
0.333333333,2.948,10.77471429
0.333333333,2.948,10.45039286
0.333333333,2.958,5.765880734
0.333333333,2.961,6.512893617
0.333333333,2.962,5.440740741
0.333333333,2.968,6.654129032
0.333333333,2.969,6.660757009
0.333333333,3.042,4.859416667
0.333333333,3.042,3.042
0.333333333,3.042,3.042
0.333333333,3.045,4.240363636
0.333333333,3.046,11.96436765
0.333333333,3.046,10.48169231
0.333333333,3.075,6.865333333
0.333333333,3.075,4.441157895
0.333333333,3.075,4.402375
0.333333333,3.079,6.710814815
0.333333333,3.08,5.237466667
0.333333333,3.081,6.061125
0.333333333,3.082,8.308391304
0.333333333,3.083,2.137533333
0.333333333,3.085,9.1297
0.333333333,3.085,5.925
0.333333333,3.085,3.085
0.333333333,3.09,14.75542105
0.333333333,3.09,14.12457692
0.333333333,3.09,13.5456087
0.333333333,3.09,12.207
0.333333333,3.09,8.976803279
0.333333333,3.09,3.532833333
0.333333333,3.127,7.822241379
0.333333333,3.145,10.21996154
0.333333333,3.151,5.208588415
0.333333333,3.178,4.345054545
0.333333333,3.198,2.978346154
0.333333333,3.201,6.828585859
0.333333333,3.202,5.389588235
