RCR,F1000Total
3.432582212,9
1.309755487,2
4.249080465,5
1.394481608,3
5.103872303,1
0.46282797,1
3.797944481,2
4.643771011,2
1.240545077,3
1.261797327,1
1.088133372,2
1.241712292,4
1.241664284,4
0.325943656,2
2.109029135,1
1.151077876,1
3.858232133,11
0.830246571,1
0.9520113,1
1.395601488,1
5.757600403,3
1.023077117,1
2.939496293,5
0.158110411,1
2.320728781,3
8.974079092,9
3.296275302,8
0.357148169,1
2.218371448,1
0.482753078,2
0.432377011,3
2.692699334,1
0.436972004,1
4.445228881,2
1.374682303,1
5.902585678,3
1.786932151,1
3.000327854,2
0.662054694,1
6.165825146,8
2.157262128,1
0.736456073,1
1.428992144,1
0.370335742,1
2.595072732,3
0.826412636,1
0.3053939,1
3.9603218,1
0.738124497,1
0.222433591,1
0.448522128,1
1.792400848,1
6.854286132,5
1.369206896,2
1.246248922,2
2.260769582,2
0.878642135,2
1.233140326,1
2.47177657,2
0.992978932,1
1.038435027,1
1.415548829,1
1.331086475,2
1.345532925,2
3.535706262,1
2.778542855,3
0.737522462,2
3.275269401,3
7.760051716,8
7.887624521,4
6.597387775,2
2.321451136,1
0.332205654,1
4.692502893,7
0.920942644,1
0.366541187,2
0.409506772,1
1.675332405,1
0.745080176,1
3.459623165,1
1.591303954,3
2.193963086,5
1.693305095,1
5.116728392,4
2.300562171,2
4.163764603,1
0.489908868,3
0.979469954,1
1.436916148,1
1.294913326,2
0.430393926,3
0.981842024,4
8.543993321,5
2.393577316,1
1.51952126,1
1.229244528,4
0.935680787,3
0.604315597,1
8.295175972,3
0.373273381,1
0.354311685,1
0.42898902,2
0.993610178,2
1.471212233,2
1.846167165,1
1.390079917,1
0.879059095,1
0.676929847,1
1.008964846,1
0.140097945,2
2.342107351,2
3.12586555,5
2.106705598,2
0.293635519,1
6.542152617,2
0.789209758,3
3.321581843,1
9.31453319,18
0.513443216,2
1.854579081,3
1.135922839,3
0.545225463,4
1.477217333,1
2.169073559,2
1.097111314,1
0.846994623,1
2.041784829,7
1.538695506,1
3.546582481,1
2.683705814,2
2.034217011,2
1.368739636,1
2.025736578,4
0.442663255,2
0.442885183,2
0.127360991,1
0.976295336,1
2.052395312,9
0.969186817,2
1.010680604,1
2.577208605,2
2.864069682,4
0.922984304,1
1.798683511,1
0.539759056,2
2.449605404,1
1.51943893,6
0.675698839,2
1.35024087,2
1.328016921,1
3.29720726,2
1.908283355,2
4.863554304,5
1.159325427,3
1.206097929,2
2.069950967,6
1.227500578,1
0.399396034,1
0.786432122,1
3.782633771,1
1.001492555,2
2.14948463,2
0.338273985,3
2.80461719,1
4.725083708,8
3.755681075,5
1.238439659,3
8.262868961,2
1.714983061,1
1.950478232,3
1.55644796,1
1.517714863,2
3.078704372,3
1.635514355,1
3.474141107,10
4.272661701,4
3.846066873,3
1.241853692,1
2.342647059,1
1.181807846,1
0.501342312,1
3.9463578,2
1.541077517,2
1.650576436,1
1.231965497,2
1.35634388,1
7.060287524,10
1.674113456,2
0.615952622,1
6.089426564,2
0.836201771,1
1.729346798,2
1.055110802,1
1.886782796,1
1.539925954,1
2.517243281,2
1.572943122,1
4.337420846,7
0.903523965,1
0.71400074,1
1.940170459,1
5.357535824,5
1.896403341,2
0.398107949,1
4.010220224,1
1.476670402,2
0.769214034,2
0.279735142,4
4.989852413,16
1.537206409,2
0.326283862,1
1.165299238,2
2.680412233,4
2.153434991,1
0.32711347,2
2.711847641,2
3.1762337,4
2.916585808,3
0.73911465,1
0.912051839,2
0.734296603,2
0.989232379,1
0.259184436,1
0.640970729,3
0.509329056,2
2.315515806,2
1.011506196,1
1.495764076,1
8.732559723,4
4.766726054,4
4.853561871,1
2.015997034,2
0.617266727,1
1.23790082,1
1.998988174,2
7.825225691,7
0.405760761,1
0.627214649,4
0.20283055,1
1.014811174,1
1.058906024,2
0.222072988,2
1.160670074,1
1.941540175,1
1.145989595,2
0.825878084,1
0.788435468,2
1.43686972,1
1.711507643,1
1.666327098,1
0.485000273,1
1.425648283,2
0.408053106,1
1.543988095,2
0.486368133,1
1.300656596,2
0.281116941,1
5.887270989,5
24.691032,5
1.83222179,2
3.778693426,1
0.429169268,5
1.388736461,1
2.878972302,3
4.014762384,8
1.088671947,1
1.196683196,3
1.026762114,2
2.124484297,2
0.605031273,2
2.013237108,12
0.479579117,1
2.038739002,1
21.75625229,8
1.983882107,2
0.468770307,1
1.21854549,1
1.371302413,7
3.807356639,5
18.79754199,5
2.93659721,1
0.254531513,2
0.821133845,1
1.170568712,1
1.105931604,2
1.900070623,2
1.01847635,1
1.663016887,3
0.88267363,1
1.163267675,1
4.0454238,4
1.297834673,1
0.325672905,1
14.17535853,3
1.937797851,1
0.771404715,3
0.032942343,1
3.045650439,1
1.146882502,1
4.623072352,12
2.434528577,1
11.37382943,4
1.121910258,2
3.48801293,1
2.085022484,5
2.088199109,3
0.661560799,1
0.511902372,1
1.108200323,1
1.239128682,2
0.970792303,1
14.78012818,2
1.966968931,4
0.32351697,2
0.44404602,4
5.399325918,2
1.550072673,1
0.966175169,1
1.253979149,1
0.637410217,1
6.451560853,3
0.701837767,1
1.500657853,1
3.837224528,2
2.847223877,1
0.750575972,1
2.034522363,3
1.686772862,3
0.691718808,1
0.457246647,1
1.070259701,1
0.553755976,2
1.601488446,1
0.690885233,1
1.093870737,2
0.958344674,1
3.113902893,2
2.0939642,5
0.48498257,3
1.06646566,1
2.961112,1
3.399053708,5
0.91070693,6
10.11341055,2
1.378435794,3
0.810621326,2
6.481252421,6
0,1
1.690197099,2
1.767270117,4
0.218939054,1
9.378538912,2
2.191532156,1
0.605568071,1
2.05616126,2
1.801363199,1
1.815191296,2
5.453614929,4
1.243217755,5
0,3
1.238024803,1
1.265258574,2
1.44019141,2
0.111033119,1
0.442455734,1
1.503606138,1
0.637198196,1
0.709255116,4
0.844290171,1
0.904476146,1
0.384767949,1
1.605036726,2
2.607200654,1
1.545356052,1
1.451536119,2
1.4697231,2
6.38786085,2
1.490502444,2
1.052941443,2
0,2
0.567286091,1
1.218673525,2
2.108087613,2
0.35368145,2
1.12671521,2
0,2
8.237148583,5
6.618640813,4
1.220790272,2
2.360031787,1
2.092650485,1
1.127659545,1
2.085899181,2
1.872378878,1
2.568457524,3
1.057922086,3
0.435404509,2
0.962871741,1
1.41189027,4
3.795161353,2
1.962965431,1
2.86197978,2
0.953969518,2
4.415212246,4
3.679065008,2
4.535117901,2
0.77090974,2
1.841296727,1
1.242725329,2
0.100205884,2
1.002302474,2
0.561502108,1
2.483086686,2
5.879455771,2
0.636052461,7
0.4723545,1
0.633399015,1
1.019203975,1
0.402703347,1
1.157192443,3
0.544465967,2
1.694412015,3
1.184675823,1
1.529554473,4
0.295046914,1
1.957671421,1
0.231879958,1
0.650386495,1
4.174801798,1
0.595197184,1
1.182440971,1
1.746597381,1
0.441188017,1
0.873657445,1
1.486646655,2
4.086911776,2
0.375079755,1
1.074763575,1
0.614274063,2
1.825264619,3
5.328262127,4
1.242025941,1
0.638169738,3
0.468321127,1
0.362614329,1
0.906791615,1
1.15563917,2
0.131954184,2
0.867745397,2
0.771014224,5
2.686374545,2
2.315425101,1
2.029254467,1
0.263378705,1
0.57746558,3
1.172095348,1
1.4358301,1
7.665281667,5
1.622854788,1
1.638108817,1
1.753370222,1
0.167957553,1
2.003160825,2
5.532869111,3
3.508839687,1
3.827278083,2
4.77750567,1
3.531253767,4
1.341499508,1
5.537743945,5
4.854482778,4
0.434551425,1
1.461661161,1
3.341688581,3
2.236362036,2
1.479177139,2
0.564315705,1
1.262105053,1
0.498596832,1
3.706647119,5
3.106231799,3
0.725216142,2
2.864114541,1
0.99797229,1
3.207688403,1
1.909802779,5
1.73867079,4
1.024094297,4
1.554807043,1
0.746155354,1
4.455091562,3
0.873058755,2
1.037874017,3
2.14664029,4
6.070828262,3
1.009897684,1
2.301035228,2
26.55816654,8
1.440571837,6
2.280755805,4
0.745751346,2
8.184930581,2
0.800923968,1
0.493523818,1
0.795201576,1
1.1996365,1
6.009721088,1
8.348249866,3
0.79328231,2
1.650145346,1
1.030319238,2
1.05033352,4
0.549703456,1
3.251962753,7
5.85179351,2
1.461354342,1
8.794192883,9
4.6115918,2
12.51326044,10
0.700077811,1
1.070568765,1
3.168361095,2
0.304363857,1
0.897197731,1
6.991024193,4
0.448466613,1
0.821907277,1
0.372819361,2
1.753185364,1
1.037902193,3
2.762433606,2
0.373353172,1
4.640780582,4
0.889502667,1
0,1
1.4365716,2
2.797719228,2
4.122495587,3
2.749222273,1
1.689688205,2
1.179148561,1
0.595513667,1
3.061835462,1
1.133244268,1
2.348617762,1
1.250751256,2
0.138486613,1
2.65045331,2
2.354096364,1
0.755229047,1
2.144402892,2
2.097852588,2
3.407737204,11
0.546235099,1
1.436649084,2
1.299467066,1
0.845687342,3
0.175798642,1
4.479004223,1
1.42865344,2
4.247739847,4
0.333310251,1
0.399868638,1
1.735669493,4
1.764704962,2
1.710711415,1
4.711483694,4
1.205495099,2
1.463414813,1
0.6149964,1
5.288403459,3
2.397586501,2
0.665429457,1
0.772922501,2
14.21206618,5
2.338569812,1
1.281505727,1
4.652646164,8
0.424767074,1
5.323791672,2
0.420032513,1
1.429543419,3
7.756174626,2
1.016536159,2
1.06943896,1
0.928735452,1
0.304038523,2
2.295479594,1
7.918510724,2
0.442725806,1
0.698964077,1
0.660236707,2
1.205757384,1
2.05642881,2
0.834058689,1
1.245613088,1
0.500605588,1
1.056578432,1
7.707538985,2
14.85440534,12
1.391756286,2
0.57981147,4
0.752756239,2
0.610415756,1
0.998265118,2
1.695736108,1
1.614686612,2
2.021236033,1
