Name,Bin.Center,Freq.Dist
BLOOD,0.555,0.010958976
BLOOD,0.565,0.010301438
BLOOD,0.575,0.008054847
BLOOD,0.585,0.007397309
BLOOD,0.595,0.007424706
BLOOD,0.605,0.006547988
BLOOD,0.615,0.005972642
BLOOD,0.625,0.004410988
BLOOD,0.635,0.004876744
BLOOD,0.645,0.003726052
BLOOD,0.655,0.003589065
BLOOD,0.665,0.002630154
BLOOD,0.675,0.002712347
BLOOD,0.685,0.002493167
BLOOD,0.695,0.002301385
BLOOD,0.705,0.001945218
BLOOD,0.715,0.001917821
BLOOD,0.725,0.001150692
BLOOD,0.735,0.001534257
BLOOD,0.745,0.000931513
BLOOD,0.755,0.001095898
BLOOD,0.765,0.000849321
BLOOD,0.775,0.000547949
BLOOD,0.785,0.000520551
BLOOD,0.795,0.000465756
BLOOD,0.805,0.000465756
BLOOD,0.815,0.000328769
BLOOD,0.825,0.000328769
BLOOD,0.835,0.000273974
BLOOD,0.845,0.000246577
BLOOD,0.855,0.000136987
BLOOD,0.865,2.74E-05
BLOOD,0.875,2.74E-05
BLOOD,0.895,2.74E-05
SCIENCE,0.005,42.40918056
SCIENCE,0.015,14.99587592
SCIENCE,0.025,11.04213735
SCIENCE,0.035,8.053433746
SCIENCE,0.045,5.720996952
SCIENCE,0.055,4.1617357
SCIENCE,0.065,3.070826609
SCIENCE,0.075,2.30410615
SCIENCE,0.085,1.733548503
SCIENCE,0.095,1.310381926
SCIENCE,0.105,1.000896539
SCIENCE,0.115,0.786802941
SCIENCE,0.125,0.602474449
SCIENCE,0.135,0.484489869
SCIENCE,0.145,0.415277031
SCIENCE,0.155,0.329567868
SCIENCE,0.165,0.248162094
SCIENCE,0.175,0.209072978
SCIENCE,0.185,0.173928635
SCIENCE,0.195,0.138784293
SCIENCE,0.205,0.115474269
SCIENCE,0.215,0.098977945
SCIENCE,0.225,0.078536848
SCIENCE,0.235,0.075309306
SCIENCE,0.245,0.060964676
SCIENCE,0.255,0.045185584
SCIENCE,0.265,0.039089116
SCIENCE,0.275,0.034068496
SCIENCE,0.285,0.031916801
SCIENCE,0.295,0.030840954
SCIENCE,0.305,0.018289403
SCIENCE,0.315,0.018648019
SCIENCE,0.325,0.015061861
SCIENCE,0.335,0.013986014
SCIENCE,0.345,0.015420477
